n_CF,n_CT,n_TC,n_BW,n_DC,n_SC,n_NC,n_paragraphs,paragraph_0p,paragraph_25p,paragraph_75p,paragraph_100p,filename
2,1,0,8,11,6,34,61,No categories identified.,BW - Build local workspace,No categories identified.,No categories identified.,material-theme@vsc-material-theme.xlsx
7,1,0,0,3,8,8,26,No categories identified.,CF - Contribution flow,CT - Choose a task,SC - Submit the changes,mathnet@mathnet-numerics.xlsx
0,0,0,0,0,0,9,8,No categories identified.,No categories identified.,No categories identified.,No categories identified.,matomo-org@matomo.xlsx
1,1,0,1,9,40,27,78,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,matrix-org@synapse.xlsx
2,0,0,0,0,7,3,11,No categories identified.,SC - Submit the changes,SC - Submit the changes,CF - Contribution flow,mattallty@Caporal.js.xlsx
1,0,0,5,1,7,6,19,No categories identified.,BW - Build local workspace,CF - Contribution flow,No categories identified.,mattboldt@typed.js.xlsx
0,0,0,0,2,9,10,20,No categories identified.,No categories identified.,DC - Deal with the code,No categories identified.,matthiasmullie@minify.xlsx
1,0,1,1,1,11,20,34,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,mautic@mautic.xlsx
0,0,0,0,0,2,3,4,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,mavlink@qgroundcontrol.xlsx
0,0,0,0,6,4,6,15,No categories identified.,DC - Deal with the code,DC - Deal with the code,DC - Deal with the code,maximebf@php-debugbar.xlsx
1,0,0,0,1,2,12,15,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,maxogden@menubar.xlsx
1,0,0,0,0,0,3,3,No categories identified.,No categories identified.,CF - Contribution flow,CF - Contribution flow,maxwellito@vivus.xlsx
1,1,0,5,3,5,12,26,No categories identified.,CT - Choose a task,No categories identified.,No categories identified.,mbasso@asm-dom.xlsx
3,0,0,1,4,16,15,38,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mbleigh@acts-as-taggable-on.xlsx
3,0,1,0,1,11,14,29,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mdbootstrap@Angular-Bootstrap-with-Material-Design.xlsx
1,0,0,1,1,33,17,52,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,meanjs@mean.xlsx
5,3,0,6,16,9,57,95,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,meetalva@alva.xlsx
2,1,0,0,5,16,8,31,No categories identified.,No categories identified.,DC - Deal with the code,CF - Contribution flow,merbanan@rtl_433.xlsx
1,0,0,3,1,4,5,13,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,merit-gem@merit.xlsx
6,1,1,1,2,15,15,40,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mermaid-js@mermaid.xlsx
1,0,0,2,1,2,4,9,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,messageformat@messageformat.xlsx
4,2,1,1,4,15,88,114,No categories identified.,No categories identified.,No categories identified.,No categories identified.,meteor@meteor.xlsx
0,0,0,1,3,2,2,7,No categories identified.,DC - Deal with the code,BW - Build local workspace,DC - Deal with the code,mevdschee@php-crud-api.xlsx
0,0,0,0,0,3,7,9,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,mfontanini@libtins.xlsx
0,0,0,3,34,11,41,88,No categories identified.,No categories identified.,DC - Deal with the code,BW - Build local workspace,mgba-emu@mgba.xlsx
4,0,0,8,2,49,4,66,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,mgcrea@angular-strap.xlsx
0,0,0,1,0,6,4,10,SC - Submit the changes,BW - Build local workspace,No categories identified.,No categories identified.,mgechev@angular-seed.xlsx
1,0,0,2,4,63,36,105,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,mgechev@codelyzer.xlsx
0,0,0,6,0,7,5,17,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,michalsnik@aos.xlsx
1,0,0,14,8,12,20,54,No categories identified.,BW - Build local workspace,DC - Deal with the code,No categories identified.,micronaut-projects@micronaut-core.xlsx
1,1,0,0,1,5,7,14,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,microservices-demo@microservices-demo.xlsx
0,0,1,0,0,2,1,3,No categories identified.,SC - Submit the changes,TC - Talk to the community,TC - Talk to the community,microsoft@ApplicationInspector.xlsx
0,0,0,0,0,3,1,3,SC - Submit the changes,SC - Submit the changes,No categories identified.,No categories identified.,microsoft@AttackSurfaceAnalyzer.xlsx
1,0,1,1,2,9,20,33,No categories identified.,No categories identified.,SC - Submit the changes,TC - Talk to the community,microsoft@BosqueLanguage.xlsx
1,0,1,0,0,3,20,24,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,microsoft@BotBuilder-Samples.xlsx
1,0,0,22,2,4,28,56,No categories identified.,BW - Build local workspace,CF - Contribution flow,SC - Submit the changes,microsoft@BotFramework-Emulator.xlsx
1,1,0,4,2,19,16,42,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,microsoft@ChakraCore.xlsx
1,0,0,0,0,7,14,21,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,microsoft@CodeContracts.xlsx
0,0,1,1,0,18,4,23,No categories identified.,SC - Submit the changes,SC - Submit the changes,TC - Talk to the community,microsoft@DeepSpeed.xlsx
1,0,0,0,0,15,21,36,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,microsoft@DirectXShaderCompiler.xlsx
0,0,1,0,0,2,1,3,No categories identified.,SC - Submit the changes,TC - Talk to the community,TC - Talk to the community,microsoft@FASTER.xlsx
0,0,0,0,2,14,3,18,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,microsoft@GSL.xlsx
1,0,0,0,0,2,4,6,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,microsoft@LightGBM.xlsx
0,0,1,0,0,0,3,3,No categories identified.,No categories identified.,TC - Talk to the community,TC - Talk to the community,microsoft@PTVS.xlsx
1,0,0,8,26,15,18,67,No categories identified.,BW - Build local workspace,DC - Deal with the code,BW - Build local workspace,microsoft@ProcDump-for-Linux.xlsx
1,0,1,6,0,7,6,20,No categories identified.,CF - Contribution flow,BW - Build local workspace,SC - Submit the changes,microsoft@ProcMon-for-Linux.xlsx
1,0,1,8,2,10,18,39,No categories identified.,No categories identified.,BW - Build local workspace,BW - Build local workspace,microsoft@Pyjion.xlsx
0,0,1,0,2,4,2,8,No categories identified.,TC - Talk to the community,DC - Deal with the code,No categories identified.,microsoft@SEAL.xlsx
4,0,1,0,1,11,4,20,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,microsoft@TouchDevelop.xlsx
2,0,0,3,9,37,50,100,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,microsoft@TypeScript.xlsx
0,0,0,1,0,4,9,13,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,microsoft@TypeScriptSamples.xlsx
2,0,1,0,37,19,60,118,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,microsoft@VFSForGit.xlsx
2,0,0,0,7,6,18,32,No categories identified.,No categories identified.,No categories identified.,DC - Deal with the code,microsoft@VS-PPT.xlsx
1,0,0,5,0,4,5,14,No categories identified.,BW - Build local workspace,BW - Build local workspace,SC - Submit the changes,microsoft@VisualStudioUninstaller.xlsx
3,0,0,0,3,40,15,60,No categories identified.,No categories identified.,No categories identified.,No categories identified.,microsoft@VoTT.xlsx
5,0,1,0,14,11,14,44,No categories identified.,DC - Deal with the code,DC - Deal with the code,DC - Deal with the code,microsoft@WebTemplateStudio.xlsx
7,0,0,1,6,33,31,77,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,microsoft@Win2D.xlsx
0,0,0,1,1,14,16,31,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,microsoft@WindowsCompositionSamples.xlsx
5,0,0,1,23,9,24,61,No categories identified.,SC - Submit the changes,No categories identified.,DC - Deal with the code,microsoft@WindowsTemplateStudio.xlsx
0,0,1,0,0,5,4,9,No categories identified.,No categories identified.,SC - Submit the changes,TC - Talk to the community,microsoft@Xaml-Controls-Gallery.xlsx
0,1,1,0,0,8,11,20,No categories identified.,No categories identified.,SC - Submit the changes,TC - Talk to the community,microsoft@aspnet-api-versioning.xlsx
0,0,0,1,0,3,24,27,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,microsoft@azuredatastudio.xlsx
1,1,1,0,5,24,12,43,No categories identified.,DC - Deal with the code,SC - Submit the changes,TC - Talk to the community,microsoft@bond.xlsx
1,0,0,1,0,11,5,17,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,microsoft@botframework-sdk.xlsx
0,0,1,0,0,2,0,2,SC - Submit the changes,SC - Submit the changes,TC - Talk to the community,TC - Talk to the community,microsoft@botframework-solutions.xlsx
1,1,0,1,2,21,13,38,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,microsoft@calculator.xlsx
7,0,0,0,1,11,3,21,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,microsoft@checkedc.xlsx
0,0,1,4,1,1,5,11,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,microsoft@dotnet-apiport.xlsx
3,0,1,19,3,16,37,78,No categories identified.,BW - Build local workspace,SC - Submit the changes,No categories identified.,microsoft@fast.xlsx
2,0,0,8,3,14,11,37,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,microsoft@just.xlsx
3,0,1,0,0,4,7,14,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,microsoft@maker.js.xlsx
3,1,1,2,4,8,19,37,DC - Deal with the code,CT - Choose a task,SC - Submit the changes,BW - Build local workspace,microsoft@microsoft-ui-xaml.xlsx
2,0,0,33,6,24,38,102,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,microsoft@monaco-editor.xlsx
6,1,0,1,0,13,15,35,No categories identified.,SC - Submit the changes,CF - Contribution flow,No categories identified.,microsoft@msquic.xlsx
0,0,0,1,8,18,23,49,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,microsoft@nlp-recipes.xlsx
1,0,0,0,1,8,13,22,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,microsoft@nodejstools.xlsx
1,0,1,0,0,2,5,8,No categories identified.,SC - Submit the changes,No categories identified.,TC - Talk to the community,microsoft@onnxjs.xlsx
5,0,1,1,4,13,13,36,No categories identified.,SC - Submit the changes,DC - Deal with the code,No categories identified.,microsoft@onnxruntime.xlsx
1,0,0,1,4,7,9,21,No categories identified.,No categories identified.,CF - Contribution flow,No categories identified.,microsoft@perfview.xlsx
2,0,1,9,14,55,27,107,No categories identified.,DC - Deal with the code,SC - Submit the changes,TC - Talk to the community,microsoft@playwright.xlsx
1,0,0,1,0,10,12,23,No categories identified.,No categories identified.,No categories identified.,No categories identified.,microsoft@pxt.xlsx
0,0,1,0,0,2,1,3,No categories identified.,SC - Submit the changes,TC - Talk to the community,TC - Talk to the community,microsoft@pyright.xlsx
1,0,0,14,11,7,12,44,No categories identified.,BW - Build local workspace,BW - Build local workspace,DC - Deal with the code,microsoft@python-language-server.xlsx
4,0,0,6,0,17,3,29,No categories identified.,SC - Submit the changes,CF - Contribution flow,No categories identified.,microsoft@react-native-windows.xlsx
2,0,1,3,3,13,6,27,No categories identified.,SC - Submit the changes,SC - Submit the changes,DC - Deal with the code,microsoft@reactxp.xlsx
0,0,0,0,6,13,18,36,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,microsoft@recommenders.xlsx
3,0,0,0,0,9,23,34,No categories identified.,No categories identified.,No categories identified.,No categories identified.,microsoft@reverse-proxy.xlsx
4,0,2,0,1,10,29,45,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,microsoft@service-fabric.xlsx
2,0,1,12,3,20,5,42,No categories identified.,SC - Submit the changes,No categories identified.,TC - Talk to the community,microsoft@tsdoc.xlsx
0,0,1,0,0,2,1,3,No categories identified.,SC - Submit the changes,TC - Talk to the community,TC - Talk to the community,microsoft@verona.xlsx
1,0,0,5,4,5,7,21,No categories identified.,BW - Build local workspace,CF - Contribution flow,SC - Submit the changes,microsoft@vscode-chrome-debug.xlsx
0,0,0,0,4,5,14,22,No categories identified.,SC - Submit the changes,No categories identified.,DC - Deal with the code,microsoft@vscode-cpptools.xlsx
2,0,0,6,7,17,11,42,BW - Build local workspace,BW - Build local workspace,SC - Submit the changes,No categories identified.,microsoft@vscode-react-native.xlsx
1,0,1,1,0,5,46,53,No categories identified.,No categories identified.,No categories identified.,No categories identified.,microsoft@vscode.xlsx
1,0,0,0,0,6,6,12,No categories identified.,No categories identified.,SC - Submit the changes,CF - Contribution flow,microsoftarchive@cqrs-journey.xlsx
4,1,0,2,1,10,13,30,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,middleman@middleman.xlsx
0,0,2,1,2,8,23,35,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,midgetspy@Sick-Beard.xlsx
0,0,0,0,0,1,22,22,No categories identified.,No categories identified.,No categories identified.,No categories identified.,midori-rb@midori.rb.xlsx
0,0,0,16,6,5,6,32,DC - Deal with the code,BW - Build local workspace,BW - Build local workspace,SC - Submit the changes,migueldeicaza@TensorFlowSharp.xlsx
1,1,0,1,23,8,29,62,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,migueldeicaza@gui.cs.xlsx
1,1,0,1,0,2,7,11,No categories identified.,No categories identified.,BW - Build local workspace,No categories identified.,mike-ward@Markdown-Edit.xlsx
1,0,0,0,5,11,16,32,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,mike42@escpos-php.xlsx
1,0,15,2,0,5,11,33,No categories identified.,TC - Talk to the community,No categories identified.,No categories identified.,mikeerickson@phpunit-pretty-result-printer.xlsx
1,0,0,0,8,13,6,27,SC - Submit the changes,SC - Submit the changes,DC - Deal with the code,No categories identified.,mikel@mail.xlsx
3,0,0,3,9,19,16,49,No categories identified.,SC - Submit the changes,DC - Deal with the code,BW - Build local workspace,mikro-orm@mikro-orm.xlsx
7,0,0,8,12,22,16,64,No categories identified.,CF - Contribution flow,BW - Build local workspace,No categories identified.,milvus-io@milvus.xlsx
2,1,1,1,1,10,9,24,No categories identified.,SC - Submit the changes,BW - Build local workspace,TC - Talk to the community,mindsdb@mindsdb.xlsx
7,1,0,4,5,20,24,60,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,mindspore-ai@mindspore.xlsx
3,0,0,2,9,17,44,74,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,minetest@minetest.xlsx
0,0,0,6,6,3,9,23,No categories identified.,DC - Deal with the code,SC - Submit the changes,No categories identified.,mingrammer@diagrams.xlsx
2,0,0,0,1,9,4,15,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,minkphp@Mink.xlsx
0,0,0,0,0,3,4,6,No categories identified.,No categories identified.,No categories identified.,No categories identified.,minoca@os.xlsx
2,0,0,0,0,4,5,10,CF - Contribution flow,SC - Submit the changes,CF - Contribution flow,No categories identified.,miripiruni@frontdesk.xlsx
4,0,0,0,0,7,2,12,No categories identified.,CF - Contribution flow,CF - Contribution flow,SC - Submit the changes,mjaschen@phpgeo.xlsx
10,0,1,32,16,36,43,137,No categories identified.,CF - Contribution flow,SC - Submit the changes,DC - Deal with the code,ml5js@ml5-library.xlsx
7,0,1,23,19,17,39,105,No categories identified.,No categories identified.,No categories identified.,BW - Build local workspace,mlaursen@react-md.xlsx
0,0,0,1,4,5,9,18,No categories identified.,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,mledoze@countries.xlsx
2,0,0,0,1,11,10,23,No categories identified.,DC - Deal with the code,No categories identified.,SC - Submit the changes,mlpack@mlpack.xlsx
2,0,0,0,0,8,6,15,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,mob-sakai@ParticleEffectForUGUI.xlsx
1,1,0,1,0,3,12,17,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,mobxjs@mobx-react-lite.xlsx
1,1,0,1,0,3,12,17,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,mobxjs@mobx-react.xlsx
1,1,0,4,0,3,12,20,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,mobxjs@mobx.xlsx
0,0,0,1,1,9,9,19,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,moby@hyperkit.xlsx
1,0,4,10,3,28,26,71,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mochajs@mocha.xlsx
2,0,0,0,2,8,14,25,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mockery@mockery.xlsx
7,1,0,11,2,14,14,48,No categories identified.,CF - Contribution flow,BW - Build local workspace,DC - Deal with the code,mockoon@mockoon.xlsx
1,0,1,1,1,6,28,37,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,modxcms@revolution.xlsx
1,0,1,0,0,0,30,31,No categories identified.,TC - Talk to the community,No categories identified.,No categories identified.,mojs@mojs.xlsx
1,0,0,13,6,10,6,35,No categories identified.,SC - Submit the changes,SC - Submit the changes,BW - Build local workspace,moment@luxon.xlsx
0,1,0,3,5,15,17,40,No categories identified.,No categories identified.,No categories identified.,CT - Choose a task,moment@moment.xlsx
0,0,0,1,1,3,5,9,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,monfresh@laptop.xlsx
3,0,0,0,2,2,2,8,DC - Deal with the code,CF - Contribution flow,SC - Submit the changes,CF - Contribution flow,mongodb@mongo-csharp-driver.xlsx
1,0,1,0,3,3,4,11,DC - Deal with the code,No categories identified.,SC - Submit the changes,TC - Talk to the community,mongodb@mongo-java-driver.xlsx
2,0,0,4,1,15,2,23,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,mongodb@mongo-php-driver-legacy.xlsx
2,0,0,5,14,15,32,67,DC - Deal with the code,No categories identified.,No categories identified.,No categories identified.,mongodb@mongo-php-library.xlsx
1,0,0,0,2,3,2,7,DC - Deal with the code,No categories identified.,DC - Deal with the code,CF - Contribution flow,mongodb@mongo-ruby-driver.xlsx
1,0,1,0,0,4,4,9,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,mongodb@node-mongodb-native.xlsx
3,0,0,0,0,11,13,26,No categories identified.,CF - Contribution flow,SC - Submit the changes,SC - Submit the changes,monicahq@monica.xlsx
0,0,0,0,0,1,2,2,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,mono@CppSharp.xlsx
3,0,2,1,0,4,9,18,No categories identified.,SC - Submit the changes,No categories identified.,TC - Talk to the community,mono@Embeddinator-4000.xlsx
0,0,0,0,1,13,6,19,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,mono@mono.xlsx
0,0,0,0,2,7,11,19,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,moove-it@sidekiq-scheduler.xlsx
1,0,1,0,3,13,18,35,No categories identified.,No categories identified.,SC - Submit the changes,DC - Deal with the code,moq@moq4.xlsx
1,1,0,0,1,2,4,8,No categories identified.,No categories identified.,DC - Deal with the code,SC - Submit the changes,mosra@magnum.xlsx
2,0,0,1,2,7,2,13,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,motdotla@dotenv.xlsx
2,0,0,1,5,10,16,33,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,mozilla@nunjucks.xlsx
0,0,0,0,0,0,10,9,No categories identified.,No categories identified.,No categories identified.,No categories identified.,mozilla@pdf.js.xlsx
0,0,0,0,5,9,5,18,SC - Submit the changes,No categories identified.,DC - Deal with the code,DC - Deal with the code,mozilla@rr.xlsx
2,0,0,2,3,9,11,26,No categories identified.,No categories identified.,No categories identified.,No categories identified.,mpc-hc@mpc-hc.xlsx
1,0,0,0,1,7,7,15,No categories identified.,No categories identified.,CF - Contribution flow,SC - Submit the changes,mpdf@mpdf.xlsx
2,0,0,0,2,1,9,13,No categories identified.,DC - Deal with the code,SC - Submit the changes,No categories identified.,mperham@sidekiq.xlsx
4,0,1,0,0,7,12,23,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mpociot@laravel-apidoc-generator.xlsx
2,0,0,0,4,2,2,9,No categories identified.,CF - Contribution flow,DC - Deal with the code,DC - Deal with the code,mps-youtube@mps-youtube.xlsx
2,0,0,7,6,19,27,60,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,mrdoob@three.js.xlsx
5,1,0,4,1,6,10,26,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,mrmlnc@fast-glob.xlsx
0,0,0,0,18,8,6,31,No categories identified.,SC - Submit the changes,DC - Deal with the code,DC - Deal with the code,mruby@mruby.xlsx
0,0,0,0,0,6,12,17,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,msracver@Deep-Image-Analogy.xlsx
4,0,1,10,5,22,8,49,No categories identified.,CF - Contribution flow,SC - Submit the changes,BW - Build local workspace,mswjs@msw.xlsx
1,0,0,2,1,10,26,39,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,multiarch@qemu-user-static.xlsx
0,0,0,1,0,1,1,2,No categories identified.,BW - Build local workspace,SC - Submit the changes,SC - Submit the changes,mustache@mustache.xlsx
1,0,0,0,0,1,5,6,No categories identified.,No categories identified.,SC - Submit the changes,CF - Contribution flow,mwaskom@seaborn.xlsx
7,0,0,0,1,17,20,44,No categories identified.,No categories identified.,SC - Submit the changes,CF - Contribution flow,mybatis@generator.xlsx
0,0,0,0,1,6,4,10,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,mysql-net@MySqlConnector.xlsx
4,0,1,26,19,24,30,103,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,n8n-io@n8n.xlsx
0,0,0,0,4,9,11,23,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,namhyung@uftrace.xlsx
1,0,0,0,0,0,6,6,No categories identified.,No categories identified.,No categories identified.,No categories identified.,nanoc@nanoc.xlsx
0,0,0,0,0,1,11,11,No categories identified.,No categories identified.,No categories identified.,No categories identified.,nanopb@nanopb.xlsx
1,1,0,6,4,11,4,26,No categories identified.,BW - Build local workspace,No categories identified.,SC - Submit the changes,narative@gatsby-theme-novela.xlsx
2,0,0,0,0,3,13,17,No categories identified.,No categories identified.,No categories identified.,CF - Contribution flow,natemcmaster@CommandLineUtils.xlsx
2,0,0,0,0,2,11,14,No categories identified.,CF - Contribution flow,No categories identified.,CF - Contribution flow,natemcmaster@DotNetCorePlugins.xlsx
2,0,0,0,0,2,11,14,No categories identified.,CF - Contribution flow,No categories identified.,CF - Contribution flow,natemcmaster@LettuceEncrypt.xlsx
0,0,0,0,0,4,10,13,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,nathanl@authority.xlsx
3,0,0,2,7,34,18,63,No categories identified.,SC - Submit the changes,No categories identified.,SC - Submit the changes,naver@billboard.js.xlsx
0,0,0,0,1,8,9,17,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,naver@pinpoint.xlsx
7,1,0,14,4,14,10,49,No categories identified.,DC - Deal with the code,CF - Contribution flow,No categories identified.,necolas@react-native-web.xlsx
1,0,0,0,1,3,5,9,No categories identified.,DC - Deal with the code,SC - Submit the changes,No categories identified.,nelmio@NelmioApiDocBundle.xlsx
2,0,0,0,5,10,24,40,No categories identified.,No categories identified.,DC - Deal with the code,DC - Deal with the code,neo-project@neo.xlsx
7,0,1,0,1,4,17,29,No categories identified.,No categories identified.,No categories identified.,No categories identified.,neo4j@neo4j.xlsx
0,0,0,6,3,4,8,20,No categories identified.,BW - Build local workspace,BW - Build local workspace,No categories identified.,neo4jrb@activegraph.xlsx
6,0,3,7,2,31,40,88,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,neoclide@coc.nvim.xlsx
0,0,0,1,1,9,10,20,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,neomutt@neomutt.xlsx
3,1,0,0,8,6,2,19,CF - Contribution flow,CF - Contribution flow,DC - Deal with the code,No categories identified.,nesquena@rabl.xlsx
3,0,1,11,7,68,37,126,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,nestjs@nest.xlsx
0,0,0,1,1,1,14,16,No categories identified.,No categories identified.,No categories identified.,No categories identified.,netblue30@firejail.xlsx
2,0,2,1,0,2,14,20,No categories identified.,No categories identified.,TC - Talk to the community,No categories identified.,netbootxyz@netboot.xyz.xlsx
7,1,6,1,3,9,33,59,No categories identified.,No categories identified.,No categories identified.,SC - Submit the changes,netbox-community@netbox.xlsx
2,1,0,1,15,40,66,124,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,netdata@netdata.xlsx
4,0,1,21,5,19,12,61,No categories identified.,SC - Submit the changes,DC - Deal with the code,SC - Submit the changes,netlify@netlify-cms.xlsx
1,3,1,0,0,1,9,14,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,nette@php-generator.xlsx
1,3,1,0,0,1,9,14,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,nette@tracy.xlsx
1,3,1,0,0,1,9,14,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,nette@utils.xlsx
0,0,0,5,1,2,8,15,No categories identified.,BW - Build local workspace,BW - Build local workspace,SC - Submit the changes,neuecc@MessagePack-CSharp.xlsx
1,0,15,2,0,5,11,33,No categories identified.,TC - Talk to the community,No categories identified.,No categories identified.,neutralinojs@neutralinojs.xlsx
5,0,2,4,10,23,30,73,No categories identified.,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,newcontext-oss@kitchen-terraform.xlsx
5,1,0,0,3,20,22,50,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,newrelic@newrelic-ruby-agent.xlsx
1,0,0,0,0,4,3,7,No categories identified.,No categories identified.,SC - Submit the changes,SC - Submit the changes,nextcloud@nextcloud-snap.xlsx
1,0,0,0,2,7,17,26,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,nextcloud@server.xlsx
1,0,0,2,0,9,8,19,No categories identified.,No categories identified.,No categories identified.,No categories identified.,nfl@react-helmet.xlsx
2,0,0,2,4,60,26,93,No categories identified.,SC - Submit the changes,SC - Submit the changes,SC - Submit the changes,ng-alain@ng-alain.xlsx
2,0,0,0,1,4,3,9,CF - Contribution flow,DC - Deal with the code,SC - Submit the changes,SC - Submit the changes,ng-bootstrap@ng-bootstrap.xlsx
2,1,0,2,1,4,10,19,No categories identified.,No categories identified.,BW - Build local workspace,SC - Submit the changes,ng-packagr@ng-packagr.xlsx
0,0,0,1,0,5,2,7,No categories identified.,SC - Submit the changes,BW - Build local workspace,SC - Submit the changes,ng-select@ng-select.xlsx
1,0,0,1,1,3,5,10,No categories identified.,DC - Deal with the code,No categories identified.,BW - Build local workspace,ngbp@ngbp.xlsx
0,0,0,9,3,17,4,32,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,ngneat@spectator.xlsx
0,0,0,6,3,11,7,26,No categories identified.,BW - Build local workspace,SC - Submit the changes,SC - Submit the changes,ngneat@transloco.xlsx
1,0,0,3,0,48,35,86,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,ngrx@platform.xlsx
0,0,0,3,0,7,5,14,No categories identified.,SC - Submit the changes,No categories identified.,No categories identified.,ngrx@store.xlsx
0,0,0,2,7,11,37,56,No categories identified.,No categories identified.,SC - Submit the changes,No categories identified.,ngx-formly@ngx-formly.xlsx
1,0,0,4,2,15,12,33,No categories identified.,SC - Submit the changes,SC - Submit the changes,No categories identified.,ngx-rocket@generator-ngx-rocket.xlsx
